numeric_time,Pressure (MPa)
0.0,0.101325
120.0,0.0384090678062228
240.00000000000003,0.021756169373691
360.0,0.0145345814283307
480.00000000000006,0.0106341806287369
600.0,0.0082484132475373
720.0,0.0066442810122468
840.0,0.0055140927296331
960.0,0.0046751567549274
1080.0,0.0040344837588698
1320.0,0.0035308402561765
1440.0,0.003125648759996
1560.0,0.0027938204924727
1680.0,0.0025178117348158
1800.0,0.0022852061911262
1920.0,0.0020874437127309
2040.0,0.0019166844213596
2160.0,0.0017689855533817
2280.0,0.0016392222841855
2400.0,0.0015251926444674
2520.0,0.0014241483307044
2760.0,0.0013342752396724
2880.0,0.0012537785675471
3000.0,0.0011811897520998
3120.0,0.0011154963099878
3240.0,0.0010555532151882
3360.0,0.0010013006551772
3480.0,0.0009514722121237
3600.0,0.0009056480781398
3720.000000000001,0.0008636019082454
3840.000000000001,0.0008248096115903
3960.000000000001,0.000788716119514
4200.0,0.0007552802948689
4320.0,0.000724220272531
4440.0,0.000695079770299
4560.0,0.000667956348256
4680.0,0.0006424353308225
4800.0,0.0006187286844036
4920.0,0.0005964922953829
5040.0,0.0005756203826313
5160.0,0.0005559283190623
5280.0,0.0005373780118709
5520.0,0.0005198299194185
5640.0,0.0005033139995573
5760.0,0.0004876087716044
5880.0,0.0004727337177009
6000.0,0.000458616106173
6120.0,0.0004452268958481
6240.0,0.0004324637775329
6360.0,0.0004203261725276
6480.0,0.0004087571120484
6600.0,0.0003976915505326
6720.0,0.0003871552490437
6960.0,0.0003770853644266
7080.0,0.000367440839386
7200.0,0.0003582316173007
7320.000000000001,0.0003493949383153
7440.000000000001,0.0003409287752956
7560.000000000001,0.0003328195130133
7680.000000000001,0.0003250505574908
7800.000000000001,0.0003175468763556
7920.000000000001,0.0003103490518142
8040.000000000001,0.0003034070351893
8160.000000000001,0.0002967369541072
8400.0,0.0002903388220274
8520.0,0.0002841632476209
8640.0,0.0002781987831904
8760.0,0.0002724186286132
8880.0,0.0002668605314697
9000.0,0.0002615069555547
9120.0,0.0002563131340095
9240.0,0.0002512923633392
9360.0,0.0002464376045329
9480.0,0.0002417194993234
9600.0,0.0002371702716053
9840.0,0.0002327668879114
9960.0,0.0002285264945929
10080.0,0.0002244039932796
10200.0,0.0002203987312037
10320.0,0.0002165035044007
10440.0,0.0002127257111979
10560.0,0.0002090596741237
10680.0,0.0002055298095476
10800.0,0.0002020877211097
10920.0,0.0001987321781281
11040.0,0.0001954698793892
11280.0,0.0001923142101153
11400.0,0.0001892373549589
11520.0,0.0001862435134305
11640.0,0.0001833367402686
11760.0,0.0001805102209213
11880.0,0.0001777497395069
12000.0,0.0001750614861038
12120.0,0.0001724525149522
12240.0,0.0001699134376161
12360.0,0.0001674316856261
12480.0,0.0001650189625085
12720.0,0.000162652661786
12840.0,0.0001603558917537
12960.0,0.0001581026954519
13080.0,0.0001559172658951
13200.0,0.0001537763139776
13320.0,0.0001516902566813
13440.0,0.0001496489893845
13560.0,0.0001476575967352
13680.0,0.0001457048624659
13800.0,0.0001437894454721
14040.0,0.0001419169656929
14160.0,0.0001400752774366
14280.0,0.000138278310889
14400.0,0.0001365161023741
14520.0,0.000134793565929
14640.000000000002,0.0001331025435498
14760.000000000002,0.0001314440837262
14880.000000000002,0.0001298254285484
15000.000000000002,0.000128242897529
15120.000000000002,0.0001266933003808
15240.000000000002,0.0001251750216709
15480.000000000002,0.0001236916152941
15600.000000000002,0.0001222449391602
15720.000000000002,0.0001208263220971
15840.000000000002,0.0001194364225675
15960.000000000002,0.0001180703414134
16080.000000000002,0.0001167282955215
16200.000000000002,0.0001154173276634
16320.000000000002,0.000114129514297
16440.0,0.0001128666141627
16560.0,0.0001116236104007
16680.0,0.0001104054120005
16920.0,0.0001092086751799
17040.0,0.0001080360291402
17160.0,0.0001068846047738
17280.0,0.0001057516066308
17400.0,0.0001046409288595
17520.0,0.0001035482003437
17640.0,0.0001024733610307
17760.0,0.000101420913991
17880.0,0.0001003836986275
18000.0,9.937211311363528e-05
18120.0,9.837432847166544e-05
18360.0,9.739461415678886e-05
18480.0,9.643586906768134e-05
18600.0,9.54933789145136e-05
18720.0,9.456376988261592e-05
18840.0,9.36510803063216e-05
18960.0,9.275283947993227e-05
19080.0,9.186843982818828e-05
19200.0,9.099957873698957e-05
19320.0,9.014356873107766e-05
19440.0,8.929970598365474e-05
19560.0,8.84717534883038e-05
19800.0,8.765299404163532e-05
19920.0,8.684574721210504e-05
20040.0,8.605339014472448e-05
20160.0,8.52738526731738e-05
20280.0,8.450389535546517e-05
20400.0,8.374687591482218e-05
20520.0,8.299947589440808e-05
20640.0,8.226205000216e-05
20760.0,8.153709086653278e-05
20880.0,8.081942036547794e-05
21000.0,8.011512625051219e-05
21240.0,7.942279894133282e-05
21360.0,7.873916088674465e-05
21480.0,7.806526156972284e-05
21600.0,7.740011875789439e-05
21720.0,7.674642494638438e-05
21840.0,7.610239586079031e-05
21960.0,7.546593771932414e-05
22080.0,7.483908047923036e-05
22200.0,7.42222177176063e-05
22320.0,7.361389017105135e-05
22560.0,7.301455465256536e-05
22680.0,7.242247844448456e-05
22800.0,7.183856075567369e-05
22920.0,7.126288452158983e-05
23040.0,7.069598460786414e-05
23160.0,7.01368802081176e-05
23280.0,6.958432423661771e-05
23400.0,6.904090498034326e-05
23520.0,6.850285587713092e-05
23640.0,6.797316860533338e-05
23760.0,6.745097716972754e-05
24000.0,6.693477344812261e-05
24120.0,6.642615576914715e-05
24240.0,6.59231173914283e-05
24360.0,6.542834689176923e-05
24480.0,6.493789535277978e-05
24600.0,6.445458688832584e-05
24720.0,6.397737900277342e-05
24840.0,6.35053673259103e-05
24960.0,6.303884455131662e-05
25080.0,6.257858081738657e-05
25200.0,6.212392873490326e-05
25440.0,6.167565193125741e-05
25560.0,6.123190579007907e-05
25680.0,6.079380058134243e-05
25800.0,6.036043791941253e-05
25920.0,5.99341848439201e-05
26040.0,5.951203662278752e-05
26160.0,5.909545841619642e-05
26280.0,5.868298368487165e-05
26400.0,5.827606870977928e-05
26520.0,5.787400328873574e-05
26640.0,5.747591920630185e-05
26880.0,5.708284417380449e-05
27000.0,5.669359454809558e-05
27120.0,5.630974649765991e-05
27240.0,5.5928697931112206e-05
27360.0,5.555260699550757e-05
27480.0,5.5181207458498825e-05
27600.0,5.4812314319860006e-05
27720.0,5.444817296932119e-05
27840.0,5.408804118903069e-05
27960.0,5.373340717927813e-05
28080.0,5.3382105071047855e-05
28320.0,5.303550802075182e-05
28440.0,5.269145104386609e-05
28560.0,5.235140870969786e-05
28680.0,5.201461181207855e-05
28800.0,5.168142546177697e-05
28920.0,5.135261405997383e-05
29040.0,5.102687620762483e-05
29160.0,5.070539301881325e-05
29280.000000000004,5.038638369569421e-05
29400.000000000004,5.007191254589357e-05
29520.000000000004,4.9760872465280256e-05
29760.000000000004,4.9453249147834216e-05
29880.000000000004,4.9148244517640894e-05
30000.000000000004,4.884603417365586e-05
30120.000000000004,4.85460068882328e-05
30240.000000000004,4.825046386349374e-05
30360.000000000004,4.795770600934637e-05
30480.000000000004,4.766851700321603e-05
30600.000000000004,4.738232856543015e-05
30720.000000000004,4.70990004743703e-05
30840.000000000004,4.681803167344745e-05
31080.000000000004,4.654008763574099e-05
31200.000000000004,4.626605269105219e-05
31320.000000000004,4.599487425778103e-05
31440.000000000004,4.57260835065532e-05
31560.000000000004,4.545976052451064e-05
31680.000000000004,4.519718558123473e-05
31800.000000000004,4.493843930263232e-05
31920.000000000004,4.468026491105135e-05
32040.000000000004,4.442559116483224e-05
32160.000000000004,4.417374498743777e-05
32280.000000000004,4.392402519214816e-05
32520.000000000004,4.367655641395814e-05
32640.000000000004,4.343213228233256e-05
32760.000000000004,4.31898370905739e-05
32880.0,4.295053569116035e-05
33000.0,4.271281577468999e-05
33120.0,4.247656884440389e-05
33240.0,4.224243699970826e-05
33360.0,4.201100753995145e-05
33480.0,4.17815129876424e-05
33600.0,4.1554275139348495e-05
33720.0,4.132793113256509e-05
33960.0,4.110279251040935e-05
34080.0,4.088065547069221e-05
34200.0,4.0660445739322704e-05
34320.0,4.0442204083612765e-05
34440.0,4.022569098081472e-05
34560.0,4.0011502765927374e-05
34680.0,3.979967052409232e-05
34800.0,3.958910864650618e-05
34920.0,3.938156295924079e-05
35040.0,3.917577406406312e-05
35160.0,3.897327213489973e-05
35400.0,3.877197369539892e-05
35520.0,3.857242880924855e-05
35640.0,3.837494340712087e-05
35760.0,3.8179372140088136e-05
35880.0,3.798465819442504e-05
36000.0,3.779242635658497e-05
36120.0,3.760194752761743e-05
36240.0,3.741273350732064e-05
36360.0,3.722431918530243e-05
36480.0,3.703838303695241e-05
36600.0,3.6853995703244086e-05
36840.0,3.6671107308681176e-05
36960.0,3.6489644083985774e-05
37080.0,3.63105421031642e-05
37200.0,3.613370661302887e-05
37320.0,3.5958216098164364e-05
37440.0,3.5784252904707486e-05
37560.0,3.561154668674699e-05
37680.0,3.5440182896903256e-05
37800.0,3.5270413340704274e-05
37920.0,3.510180975148761e-05
38040.0,3.493418753758055e-05
38280.0,3.4768157433291816e-05
38400.0,3.460368988663851e-05
38520.0,3.444099906953477e-05
38640.0,3.427860727418127e-05
38760.0,3.411776957475714e-05
38880.0,3.395878767901951e-05
39000.0,3.3801999629620315e-05
39120.0,3.364518826377766e-05
39240.0,3.3490133944159495e-05
39360.0,3.3337083673852084e-05
39600.0,3.318526388560351e-05
39720.0,3.303469086178392e-05
39840.0,3.288560196769021e-05
39960.0,3.273765503617468e-05
40080.0,3.259018775154918e-05
40200.0,3.2444264897742254e-05
40320.0,3.229896728143693e-05
40440.0,3.2155016030873155e-05
40560.0,3.201181129944875e-05
40680.0,3.1869551449139305e-05
40800.0,3.1728078700076084e-05
41040.0,3.158806507188793e-05
41160.0,3.1449641679841325e-05
41280.0,3.131246105216031e-05
41400.0,3.117592348989157e-05
41520.0,3.104115717947122e-05
41640.0,3.0907418074071125e-05
41760.0,3.0774110686119965e-05
41880.0,3.064200119377874e-05
42000.0,3.0510925246275532e-05
42120.0,3.0380864231402277e-05
42240.0,3.025182533524929e-05
42480.0,3.0123091314850127e-05
42600.0,2.999578790911965e-05
42720.0,2.9869060651084227e-05
42840.0,2.97443909767879e-05
42960.0,2.962029695676045e-05
43080.0,2.949661642799634e-05
43200.0,2.9373608670677098e-05
43320.0,2.9252363841741868e-05
43440.0,2.9132098475600763e-05
43560.0,2.9011801302694005e-05
43680.0,2.889278196486716e-05
43920.0,2.8773878467206632e-05
44040.0,2.8656110045067237e-05
44160.0,2.8539628739495145e-05
44280.0,2.8423284107681143e-05
44400.0,2.8308499383125625e-05
44520.0,2.8194114990972773e-05
44640.0,2.8080322945467188e-05
44760.0,2.7968013093168264e-05
44880.0,2.785672667979797e-05
45120.0,2.774603308992771e-05
45360.0,2.7636161282320877e-05
45600.0,2.7526698929185863e-05
45720.0,2.741828119121683e-05
45840.0,2.7310281618520263e-05
45960.0,2.720355420368517e-05
46080.0,2.70974570087106e-05
46200.0,2.6991871720671904e-05
46320.0,2.6887223880836936e-05
46440.0,2.6782976695755453e-05
46560.0,2.6679273775051088e-05
46800.0,2.6576341235867187e-05
46920.0,2.647416533929452e-05
47040.0,2.63726781476576e-05
47160.0,2.627174948881333e-05
47280.0,2.61718058690882e-05
47400.0,2.6072377068640743e-05
47520.0,2.597394564827082e-05
47640.0,2.5875913997491585e-05
47760.0,2.577869943754449e-05
47880.0,2.568202384115209e-05
48000.0,2.5586424026842503e-05
48240.0,2.5490577183065e-05
48360.0,2.5395276324170143e-05
48480.0,2.53014325510888e-05
48600.0,2.52080634482301e-05
48720.0,2.511509327348582e-05
48840.0,2.5022669484539243e-05
48960.0,2.493109645483857e-05
49080.0,2.4839845237733405e-05
49200.0,2.474949388999015e-05
49320.0,2.4659923074513773e-05
49560.0,2.4570835295897595e-05
49680.0,2.4482381270750747e-05
49800.0,2.4394160111214848e-05
49920.0,2.4306864989817434e-05
50040.0,2.421953907955986e-05
50160.0,2.4133114214242743e-05
50280.0,2.4046922902832054e-05
50400.0,2.396152350933628e-05
50520.0,2.387674366765029e-05
50640.0,2.379222931584664e-05
50760.0,2.370812775890608e-05
51000.0,2.3624637385882487e-05
51120.0,2.354177389631375e-05
51240.0,2.3459260813303856e-05
51360.0,2.33775633608324e-05
51480.0,2.3296226201330712e-05
51600.0,2.3214999863208872e-05
51720.0,2.3134123859614665e-05
51840.0,2.305376220709904e-05
51960.0,2.297374116937277e-05
52080.0,2.2894538908832146e-05
52200.0,2.2815957998874095e-05
52440.0,2.273756135843305e-05
52560.0,2.2659729003884844e-05
52680.0,2.2582122480200768e-05
52800.0,2.2504677066562355e-05
52920.0,2.2427956874519413e-05
53040.0,2.2351600458015693e-05
53160.0,2.227564430317277e-05
53280.0,2.219998548054674e-05
53400.0,2.2124703688901237e-05
53520.0,2.205017792291576e-05
53640.0,2.19760533991745e-05
53880.0,2.1902502726958696e-05
54000.0,2.1828886104207623e-05
54120.0,2.1755971145827947e-05
54240.0,2.168333060725077e-05
54360.0,2.1611171726596055e-05
54480.0,2.1539703752522795e-05
54600.0,2.1468534927766235e-05
54720.0,2.1397865850673825e-05
54840.0,2.1327446199941664e-05
54960.0,2.1257569134020263e-05
55080.0,2.118791607493137e-05
55320.0,2.1118677248181703e-05
55440.0,2.1049749121294373e-05
55560.0,2.098136302676851e-05
55680.0,2.0913339823914845e-05
55800.0,2.0845415640677344e-05
55920.0,2.0778113044247757e-05
56040.0,2.0711289050302243e-05
56160.0,2.064489336016326e-05
56280.0,2.057870129979708e-05
56400.0,2.051332024633665e-05
56520.0,2.0448347413934112e-05
56760.0,2.0383440614481086e-05
56880.0,2.031910999202688e-05
57000.0,2.0254843570939653e-05
57120.0,2.0191115865485348e-05
57240.0,2.0127687391888187e-05
57360.0,2.0064525075370654e-05
57480.0,2.000147969860191e-05
57600.0,1.9938738324909543e-05
57720.0,1.987648375802056e-05
57840.0,1.9814432304046483e-05
58080.0,1.97527983490841e-05
58200.0,1.9691437491030407e-05
58320.0,1.96302793299197e-05
58440.00000000001,1.956938988784854e-05
58560.00000000001,1.95089256628418e-05
58680.00000000001,1.9448741681456777e-05
58800.00000000001,1.9388848368877605e-05
58920.00000000001,1.9329202197453023e-05
59040.00000000001,1.926974297786647e-05
59160.00000000001,1.921071311842251e-05
59280.00000000001,1.9151987215134124e-05
59520.00000000001,1.9093485827421504e-05
59640.00000000001,1.903534101571577e-05
59760.00000000001,1.897763580662769e-05
59880.00000000001,1.892016976053541e-05
60000.00000000001,1.886326364518669e-05
60120.00000000001,1.880655211191872e-05
60240.00000000001,1.8750210914782464e-05
60360.00000000001,1.8694019201436767e-05
60480.00000000001,1.863810654174621e-05
60600.00000000001,1.858232395039949e-05
60720.00000000001,1.852686284494437e-05
60960.00000000001,1.8471810178892893e-05
61080.00000000001,1.841708295491197e-05
61200.00000000001,1.836255599387256e-05
61320.00000000001,1.8308317035387348e-05
61440.00000000001,1.825437422845589e-05
61560.00000000001,1.820077072926909e-05
61680.00000000001,1.8147477640513232e-05
61800.00000000001,1.8094544683700083e-05
61920.00000000001,1.8041675927334996e-05
62040.00000000001,1.798932294742139e-05
62160.00000000001,1.79371126782841e-05
62400.00000000001,1.788524586809837e-05
62520.00000000001,1.7833655120017967e-05
62640.00000000001,1.7782112234018015e-05
62760.00000000001,1.7730778012724955e-05
62880.00000000001,1.7679762910797746e-05
63000.00000000001,1.762883927264869e-05
63120.00000000001,1.7578219788503454e-05
63240.00000000001,1.7527913921124313e-05
63360.00000000001,1.7478047985227897e-05
63480.00000000001,1.7428304389830757e-05
63600.00000000001,1.737882896867827e-05
63840.00000000001,1.7329642385427326e-05
63960.00000000001,1.7280646555650494e-05
64080.00000000001,1.7231791214843597e-05
64200.00000000001,1.718315105118693e-05
64320.00000000001,1.7134715676436597e-05
64440.00000000001,1.7086747774396164e-05
64560.00000000001,1.7039251722327712e-05
64680.00000000001,1.6991658038693326e-05
64800.00000000001,1.6944288393948187e-05
64920.00000000001,1.6897088710607054e-05
65040.00000000001,1.6849923051034534e-05
65280.00000000001,1.6803001150808298e-05
65400.00000000001,1.675623972739854e-05
65520.00000000001,1.6709834535077374e-05
65640.0,1.6663536422725086e-05
65760.0,1.661752820286551e-05
65880.0,1.657169518941019e-05
66000.0,1.6526124442803715e-05
66120.0,1.6480638760468514e-05
66240.0,1.643534832537445e-05
66360.0,1.63901593483442e-05
66600.0,1.6345266795711717e-05
66720.0,1.6300578593573443e-05
66840.0,1.6256195353490967e-05
66960.0,1.6211996225835557e-05
67080.0,1.6167955282071647e-05
67200.0,1.612421164753166e-05
67320.0,1.6080636564761388e-05
67440.0,1.6037278733981885e-05
67560.0,1.5994070785391108e-05
67680.0,1.595106631123092e-05
67800.0,1.5908324183572064e-05
68040.0,1.5865686051872143e-05
68160.0,1.5823313839779672e-05
68280.0,1.578112007137186e-05
68400.0,1.5739143238217683e-05
68520.0,1.5697171964211438e-05
68640.0,1.5655519217446522e-05
68760.0,1.561398798402517e-05
68880.0,1.5572719903109597e-05
69000.0,1.5531760421317505e-05
69120.0,1.5490835287241723e-05
69240.0,1.545009500077489e-05
69480.0,1.540961001378636e-05
69600.0,1.5369266308201282e-05
69720.0,1.5328881502176828e-05
69840.0,1.5288858615020503e-05
69960.0,1.5249027867213709e-05
70080.0,1.5209391773840326e-05
70200.0,1.5169869914876418e-05
70320.0,1.5130476791429825e-05
70440.0,1.5091203058157096e-05
70560.0,1.5052017754101257e-05
70680.0,1.5012977863277332e-05
70920.0,1.4974019523371392e-05
71040.0,1.4935174310022649e-05
71160.0,1.4896485320785278e-05
71280.0,1.4857961733052942e-05
71400.0,1.481954405441349e-05
71520.0,1.4781287439415228e-05
71640.0,1.474316926488297e-05
71760.0,1.4705333501118632e-05
71880.0,1.4667710529374891e-05
72000.0,1.4630352802778534e-05
72120.0,1.4593150635691043e-05
72360.0,1.4556183142535524e-05
72480.0,1.451953323565849e-05
72600.0,1.448304420319898e-05
72720.0,1.444678499161157e-05
72840.0,1.4410611918211654e-05
72960.0,1.4374651564117493e-05
73080.0,1.4338663056380936e-05
73200.0,1.4302800431486186e-05
73320.0,1.4267071937101884e-05
73440.0,1.4231510584542234e-05
73560.0,1.4196137539196794e-05
73800.0,1.4160968874739493e-05
73920.0,1.4125812325936144e-05
74040.0,1.4090753111439445e-05
74160.0,1.405595214811455e-05
74280.0,1.4021282060479863e-05
74400.0,1.3986903759197394e-05
74520.0,1.3952588852542747e-05
74640.0,1.3918414546649093e-05
74760.0,1.3884419886375431e-05
74880.0,1.3850694973709416e-05
75120.0,1.3816916544854337e-05
75240.0,1.3783220876291322e-05
75360.0,1.3749774596258473e-05
75480.0,1.3716413780697088e-05
75600.0,1.3683104411885502e-05
75720.0,1.3649947484413916e-05
75840.0,1.361700050062245e-05
75960.0,1.3584016526763086e-05
76080.0,1.3551206850074615e-05
76200.0,1.351864270749677e-05
76320.0,1.348611089455244e-05
76560.0,1.3453669961896646e-05
76680.0,1.3421417523858876e-05
76800.0,1.3389154909883632e-05
76920.0,1.335704832273372e-05
77040.0,1.3325185752235684e-05
77160.0,1.329338748863327e-05
77280.0,1.326167280897286e-05
77400.0,1.3229851570739244e-05
77520.0,1.3198271181829216e-05
77640.0,1.31666938841626e-05
77760.0,1.3135213703188663e-05
78000.0,1.3103925629603066e-05
78120.0,1.3072562092757528e-05
78240.0,1.304146968625216e-05
78360.0,1.3010487752128745e-05
78480.0,1.2979463045529007e-05
78600.0,1.2948707389422106e-05
78720.0,1.291800992251514e-05
78840.0,1.2887508461186809e-05
78960.0,1.285719930063396e-05
79080.0,1.2826901741882243e-05
79200.0,1.2796712269063163e-05
79440.0,1.2766695533086036e-05
79560.0,1.2736787346248532e-05
79680.0,1.2706970079470774e-05
79800.0,1.2677298990771388e-05
79920.0,1.2647677051329104e-05
80040.0,1.2618196812703686e-05
80160.0,1.258890042085485e-05
80280.0,1.2559726903903977e-05
80400.0,1.253076250013817e-05
80520.0,1.2501951615901206e-05
80640.0,1.2473174269854278e-05
80880.0,1.2444578580365963e-05
81000.0,1.2416094032760088e-05
81120.0,1.2387595475906582e-05
81240.0,1.2359328504695624e-05
81360.0,1.2331150914444198e-05
81480.0,1.2303059409951789e-05
81600.0,1.2275031991839367e-05
81720.0,1.224715160022673e-05
81840.0,1.22192362194065e-05
81960.0,1.2191524287264118e-05
82080.0,1.2163911732867152e-05
82320.0,1.2136402806257582e-05
82440.0,1.210896349187368e-05
82560.0,1.2081668578575723e-05
82680.0,1.205456174934055e-05
82800.0,1.2027562615866058e-05
82920.0,1.200069442316231e-05
83040.0,1.1973937296588927e-05
83160.0,1.1947326039774136e-05
83280.0,1.1920656899316451e-05
83400.0,1.1894145358342226e-05
83640.0,1.1867824891951065e-05
83760.0,1.184155173987647e-05
83880.0,1.1815501177554757e-05
84000.0,1.1789460106985716e-05
84120.0,1.1763479397374056e-05
84240.0,1.1737477711515702e-05
84360.0,1.1711528837052564e-05
84480.0,1.1685776147515292e-05
84600.0,1.1660080048865228e-05
84720.0,1.1634520657199957e-05
84840.0,1.160910841564242e-05
85080.0,1.1583705970497765e-05
85200.0,1.155833073434078e-05
85320.0,1.1533139857753552e-05
85440.0,1.1507887165805042e-05
85560.0,1.1482659340065e-05
85680.0,1.1457638333848887e-05
85800.0,1.1432787621101194e-05
85920.0,1.1407947686308828e-05
86040.0,1.1383197925819629e-05
